DATAFLOW,LAST UPDATE,freq,unit,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2013,52.4,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2014,52.4,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2015,51.2,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2016,50.6,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2017,49.8,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2018,49.2,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2019,49.1,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2020,57.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2021,56.0,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2022,53.1,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2023,52.7,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,AT,2024,56.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2013,55.9,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2014,55.4,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2015,53.9,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2016,53.4,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2017,52.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2018,52.5,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2019,51.8,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2020,58.5,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2021,54.9,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2022,52.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2023,53.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BE,2024,54.5,p,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2013,37.8,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2014,43.2,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2015,40.4,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2016,34.8,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2017,34.8,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2018,37.0,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2019,36.4,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2020,41.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2021,41.5,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2022,41.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2023,38.8,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,BG,2024,39.8,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,CH,2013,33.6,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,CH,2014,33.3,,
ESTAT:TEC00023(1.0),22/04/25 11:00:00,A,PC_GDP,TE,S13,CH,2015,33.6,,
