DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2009,74.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2010,74.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2011,74.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2012,75.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2013,75.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2014,75.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2015,75.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2016,76.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2017,76.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2018,77.1,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2019,77.3,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2020,76.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2021,77.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2022,77.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2023,78.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,AT,2024,78.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2009,67.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2010,67.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2011,66.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2012,67.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2013,67.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2014,67.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2015,67.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2016,67.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2017,68.0,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2018,68.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2019,69.1,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2020,68.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2021,69.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2022,70.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2023,70.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BE,2024,70.8,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2009,67.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2010,66.5,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2011,65.8,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2012,67.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2013,68.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2014,68.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2015,69.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2016,68.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2017,71.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2018,71.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2019,73.6,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2020,72.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2021,72.3,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2022,73.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2023,73.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2024,74.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2009,73.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2010,73.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2011,73.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2012,73.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2013,73.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2014,74.3,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2015,73.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2016,73.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2017,73.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2018,75.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2019,77.1,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2020,76.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2021,77.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2022,79.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2023,80.0,,
