"Hours worked"
"Hours/worker"
"Category","Hours per year per person"
"Mexico",2207
"Costa Rica",2170.5
"Chile",1953
"Greece",1897
"Israel",1880
"Korea",1872
"Poland",1803
"United States",1799
"Czechia",1766
"New Zealand",1751
"Estonia",1742
"OECD",1742
"Italy",1734
"Canada",1685
"Hungary",1679
"Australia",1651
"Lithuania",1641
"Ireland",1633
"Spain",1632.3
"Portugal",1631
"Slovak Rep.",1631
"Slovenia",1616
"Japan",1611
"Latvia",1548
"United Kingdom",1524
"France",1500
"Finland",1499
"Luxembourg",1462
"Iceland",1448
"Sweden",1437
"Austria",1435
"Norway",1418
"Netherlands",1413
"Denmark",1380
"Germany",1342.6
